A04003003-Govern de les Illes Balears;;;;Data actualització: 19/01/2023;;;
;A04026949-Conselleria d'Agricultura, Pesca i Alimentació;;;;;;
;;A04026951-Direcció General de Pesca i Medi Marí;;;;;
;;A04026952-Direcció General de Polítiques per a la Sobirania Alimentària;;;;;
;;A04026954-Fons de Garantia Agrària i Pesquera de les Illes Balears (FOGAIBA);;;;;
;;A04026955-Institut de Recerca i Formació Agroalimentària i Pesquera de les Illes Balears;;;;;
;;A04027006-Direcció General d'Agricultura, Ramaderia i Desenvolupament Rural;;;;;
;;A04027054-Secretaria General d'Agricultura, Pesca i Alimentació;;;;;
;A04026929-Conselleria d'Afers Socials i Esports;;;;;;
;;A04005885-Consorci de Gestió Sociosanitari d'Eivissa;;;;;
;;A04005883-Consorcio Protección y Acogida Personas Disminuidas Psíquicas Profundas de Baleares;;;;;
;;A04005884-Consorci Recursos Sociosanitaris i Assistencials de les Illes Balears;;;;;
;;A04026930-Direcció General d'Atenció a la Dependència;;;;;
;;A04013498-Direcció General de Cooperació;;;;;
;;A04026936-Direcció General d'Esports;;;;;
;;;A04032430-Centre de Tecnificació Esportiva Illes Balears;;;;
;;A04026935-Direcció General d'Infància, Joventut i Famílies;;;;;
;;A04026931-Direcció General de Planificació, Equipaments i Formació;;;;;
;;;A04030897-Eadisoc Equip d'avaluació Dificultats Socialització i Comunicació Eivissa i Formentera;;;;
;;A04026932-Direcció General de Serveis Socials;;;;;
;;A04005599-Fundació d'Atenció i Suport a la Dependència i de Promoció de l'Autonomia Personal de les Illes Balears;;;;;
;;A04005600-Fundació Institut Socioeducatiu s'Estel;;;;;
;;A04027057-Fundació per a l'Esport Balear;;;;;
;;A04027055-Institut Balear de la Joventut (Ibjove);;;;;
;;A04005601-Oficina Balear de la Infància i l'adolescència;;;;;
;;A04003780-Secretaria General d'Afers Socials i Esports;;;;;
;A04026923-Conselleria d'Educació i Formació Professional;;;;;;
;;A04019979-Conseller d'Educació i Formació Professional;;;;;
;;A04019990-Consell Escolar de les Illes Balears;;;;;
;;A04005870-Consorci per al Foment d'Infraestructures Universitàries;;;;;
;;A04019983-Direcció Territorial d'Educació d'Eivissa i Formentera;;;;;
;;A04019984-Direcció Territorial d'Educació de Menorca;;;;;
;;A04019980-Departament d'Inspecció Educativa;;;;;
;;A04026924-Direcció General de Formació Professional i Ensenyances Artístiques Superiors;;;;;
;;;A04021477-Institut de Qualificacions Professionals de les Illes Balears;;;;
;;A04013518-Direcció General de Personal Docent;;;;;
;;A04013522-Direcció General de Planificació, Ordenació i Centres;;;;;
;;;A04038915-Cahospdomi;;;;
;;;A04036376-Camp d'aprenentatge Binifaldó;;;;
;;;A04036379-Camp d'aprenentatge Es Palmer;;;;
;;;A04036373-Camp d'aprenentatge Es Pinaret;;;;
;;;A04036372-Camp d'aprenentatge Far de Cavalleria;;;;
;;;A04036375-Camp d'aprenentatge Formentera;;;;
;;;A04036377-Camp d'aprenentatge Orient;;;;
;;;A04036374-Camp d'aprenentatge Sa Cala;;;;
;;;A04036378-Camp d'aprenentatge Son Ferriol;;;;
;;;A04019293-Cc San Alfonso María de Ligorio;;;;
;;;A04036073-Cee Son Ferriol;;;;
;;;A04019338-Cei Aladern;;;;
;;;A04019339-Cei Àngel de la Guarda;;;;
;;;A04019340-Cei Angelets 2008;;;;
;;;A04019341-Cei Asima;;;;
;;;A04019342-Cei Baberitos;;;;
;;;A04019343-Cei Bella Aurora;;;;
;;;A04019344-Cei Blancanieves;;;;
;;;A04019345-Cei Blaucel;;;;
;;;A04019346-Cei Chiquitín;;;;
;;;A04019347-Cei Confits;;;;
;;;A04019348-Cei Corrillos;;;;
;;;A04019349-Cei d'Arrel;;;;
;;;A04019350-Cei Dues Llunes, Escola d'Infants;;;;
;;;A04019351-Cei el Trenet Blau;;;;
;;;A04019352-Cei Es Petit Castell;;;;
;;;A04019353-Cei Es Pontet;;;;
;;;A04019355-Cei Escola Nova;;;;
;;;A04019356-Cei Escoleta Lluna;;;;
;;;A04019357-Cei Estrelletes;;;;
;;;A04019358-Cei Eureka;;;;
;;;A04019359-Cei Gianni Rodari;;;;
;;;A04019360-Cei Happy Faces;;;;
;;;A04019361-Cei Hobbiton;;;;
;;;A04019362-Cei Hyades;;;;
;;;A04019364-Cei Itaca Nova;;;;
;;;A04019365-Cei Jardilín;;;;
;;;A04019367-Cei Kinder Blau;;;;
;;;A04019368-Cei Koala;;;;
;;;A04019369-Cei Koala Polígon;;;;
;;;A04019370-Cei la Cuna;;;;
;;;A04019371-Cei la Vall;;;;
;;;A04019372-Cei l'Escoleta;;;;
;;;A04019373-Cei Lluna de Paper;;;;
;;;A04019375-Cei Mafalda;;;;
;;;A04019374-Cei Mafalda-St Josep Sa Talaia;;;;
;;;A04019376-Cei Mama Osa;;;;
;;;A04019377-Cei Maria Serra;;;;
;;;A04019378-Cei Mel i Sucre;;;;
;;;A04019379-Cei Menudall;;;;
;;;A04019380-Cei Món Petit;;;;
;;;A04019381-Cei Món Petitó;;;;
;;;A04019382-Cei Mondaura;;;;
;;;A04019383-Cei Nit i Dia;;;;
;;;A04019386-Cei Patim-Patam;;;;
;;;A04019387-Cei Pekes;;;;
;;;A04019388-Cei Peter Pan;;;;
;;;A04019389-Cei Petit Angelet;;;;
;;;A04019390-Cei Petit Món;;;;
;;;A04019391-Cei Petits;;;;
;;;A04019981-Cei Petits Ferrerets;;;;
;;;A04019393-Cei Pica-Sol;;;;
;;;A04019395-Cei Plou i Fa Sol;;;;
;;;A04019397-Cei Poporiol;;;;
;;;A04019399-Cei Rin Tin Tin;;;;
;;;A04019400-Cei Ropit;;;;
;;;A04019401-Cei Sa Costureta;;;;
;;;A04019402-Cei Sa Miloca;;;;
;;;A04019406-Cei Sant Agustí;;;;
;;;A04019408-Cei Sant Francesc d'Assís-Felanitx;;;;
;;;A04019410-Cei S'Aucellet;;;;
;;;A04019411-Cei Serra Mamerra;;;;
;;;A04019412-Cei S'Estel;;;;
;;;A04019413-Cei Siervas de Jesús. Sagrado Corazón;;;;
;;;A04019414-Cei Siete Enanitos;;;;
;;;A04019416-Cei Son Llatzer;;;;
;;;A04019417-Cei Son Oliva;;;;
;;;A04019418-Cei Teringa;;;;
;;;A04019420-Cei Voliaina;;;;
;;;A04019421-Cei Xipell;;;;
;;;A04019337-Cei 101 Dàlmatas;;;;
;;;A04019422-CEIP Aina Moll i Marquès;;;;
;;;A04019423-CEIP Alexandre Rosselló;;;;
;;;A04019424-CEIP Angel Ruiz i Pablo;;;;
;;;A04019425-CEIP Anselm Turmeda;;;;
;;;A04019426-CEIP Antoni Juan Alemany;;;;
;;;A04019427-CEIP Antònia Alzina;;;;
;;;A04019428-CEIP Badies;;;;
;;;A04019429-CEIP Balansat;;;;
;;;A04019430-CEIP Bartomeu Ordines;;;;
;;;A04019431-CEIP Bendinat;;;;
;;;A04019432-CEIP Binissalem;;;;
;;;A04019433-CEIP Blai Bonet;;;;
;;;A04019434-CEIP Blanquerna;;;;
;;;A04019435-CEIP Buscastell;;;;
;;;A04019436-CEIP Calonge;;;;
;;;A04019437-CEIP Camilo José Cela;;;;
;;;A04019438-CEIP Can Bril;;;;
;;;A04019439-CEIP Can Canto;;;;
;;;A04019440-CEIP Can Coix;;;;
;;;A04019441-CEIP Can Guerxo;;;;
;;;A04019442-CEIP Can Misses;;;;
;;;A04019443-CEIP Can Pastilla;;;;
;;;A04019444-CEIP Can Raspalls;;;;
;;;A04019445-CEIP Cas Capiscol;;;;
;;;A04019446-CEIP Cas Saboners;;;;
;;;A04019447-CEIP Cas Serres;;;;
;;;A04019448-CEIP Castell de Santa Àgueda;;;;
;;;A04019449-CEIP Cervantes;;;;
;;;A04019474-CEIP Escola Nova;;;;
;;;A04019450-CEIP Coll d' en Rabassa;;;;
;;;A04019451-CEIP Colònia de Sant Jordi;;;;
;;;A04019452-CEIP de Pràctiques;;;;
;;;A04019453-CEIP Duran Estrany;;;;
;;;A04019454-CEIP el Pilar;;;;
;;;A04019455-CEIP el Terreno;;;;
;;;A04019456-CEIP Eleonor Bosch;;;;
;;;A04019457-CEIP els Molins-Andratx;;;;
;;;A04019458-CEIP els Molins-Búger;;;;
;;;A04019459-CEIP els Tamarells;;;;
;;;A04019460-CEIP Es Cremat;;;;
;;;A04019461-CEIP Es Fossaret;;;;
;;;A04019462-CEIP Es Molinar, Infant Felip;;;;
;;;A04019463-CEIP Es Pil·larí;;;;
;;;A04019464-CEIP Es Pont;;;;
;;;A04019465-CEIP Es Puig-Lloseta;;;;
;;;A04019466-CEIP Es Puig-Sóller;;;;
;;;A04019467-CEIP Es Putxet;;;;
;;;A04019468-CEIP Es Secar de la Real;;;;
;;;A04019469-CEIP Es Torrentet;;;;
;;;A04019470-CEIP Es Vedrà;;;;
;;;A04019471-CEIP Es Vinyet;;;;
;;;A04019472-CEIP Es Vivero;;;;
;;;A04019473-CEIP Escola Graduada;;;;
;;;A04019475-CEIP Establiments;;;;
;;;A04019476-CEIP Felip Bauçà;;;;
;;;A04019477-CEIP Fornalutx;;;;
;;;A04019478-CEIP Fornells;;;;
;;;A04019479-CEIP Francesc d'Albranca;;;;
;;;A04019480-CEIP Gabriel Comas i Ribas;;;;
;;;A04019481-CEIP Gabriel Janer Manila;;;;
;;;A04019482-CEIP Gabriel Palmer;;;;
;;;A04019483-CEIP Gabriel Vallseca;;;;
;;;A04019484-CEIP Galatzó;;;;
;;;A04019485-CEIP Gaspar Sabater;;;;
;;;A04019486-CEIP Génova;;;;
;;;A04019487-CEIP Guillem Ballester i Cerdà;;;;
;;;A04019488-CEIP Guillem de Montgrí;;;;
;;;A04019489-CEIP Guillem Frontera Pascual;;;;
;;;A04019490-CEIP Inspector Doctor Comas Camps;;;;
;;;A04019491-CEIP Inspector Joan Capó;;;;
;;;A04019492-CEIP Jafuda Cresques;;;;
;;;A04019493-CEIP Jaume Fornaris i Taltavull;;;;
;;;A04019494-CEIP Jaume I;;;;
;;;A04019495-CEIP Jaume Vidal i Alcover;;;;
;;;A04019496-CEIP Joan Benejam;;;;
;;;A04019497-CEIP Joan Capó;;;;
;;;A04019498-CEIP Joan Mas;;;;
;;;A04019499-CEIP Joan mas i Verd;;;;
;;;A04019500-CEIP Joan Veny i Clar;;;;
;;;A04019501-CEIP Juníper Serra;;;;
;;;A04019502-CEIP la Soledat;;;;
;;;A04019503-CEIP Labritja;;;;
;;;A04019504-CEIP Llevant;;;;
;;;A04019505-CEIP Llorenç Riber;;;;
;;;A04019506-CEIP l'Urgell;;;;
